law,bin,bin_index,n,mean_lagged_return,conditional_mean,conditional_mean_lo,conditional_mean_hi,deviation_from_unconditional_mean,deviation_from_unconditional_mean_lo,deviation_from_unconditional_mean_hi
SBJTS_TARGET,"(-inf,-2]",0,493,-0.05327231971712362,0.008358178645618327,0.006389629844820334,0.010719204923905478,0.007975664252737734,0.00601601520839187,0.01034236450408651
SBJTS_TARGET,"(-2,-1]",1,2108,-0.01751389003286291,0.003323175369580358,0.002423206466015358,0.004046645875196967,0.0029406609766997652,0.002027736370552942,0.003690346066165789
SBJTS_TARGET,"(-1,-0.5]",2,3199,-0.009235124638748933,0.0014803579041173542,0.0010501096346660446,0.001885251949070787,0.0010978435112367615,0.0006622442594930699,0.0014916894052672306
SBJTS_TARGET,"(-0.5,0]",3,5224,-0.002913807201100905,0.000402058306544483,0.0001550814671232969,0.0006430136708803639,1.9543913663890272e-05,-0.00018932108518032113,0.0002255259474800612
SBJTS_TARGET,"(0,0.5]",4,5487,0.0034772112264618814,-0.0003680958218775598,-0.0005788613719487671,-0.00018323686113893908,-0.0007506102147581525,-0.0009117901412460899,-0.000606629882272496
SBJTS_TARGET,"(0.5,1]",5,3576,0.009834168857409478,-0.00048549968727776315,-0.0006599346219462096,-0.0003160650925226349,-0.0008680140801583559,-0.0010387163917648658,-0.0006994661236385423
SBJTS_TARGET,"(1,2]",6,2123,0.017767844970544885,-0.002041145582453885,-0.0025525472424553323,-0.0016672504900421947,-0.0024236599753344776,-0.002930932768375944,-0.0020698957590092096
SBJTS_TARGET,"(2,inf)",7,446,0.05582362956099821,-0.0026292167127932708,-0.003985411429502301,-0.001400279048624055,-0.0030117311056738635,-0.004371281273663989,-0.001718602433330097
MERTON_EMPIRICAL_GBM,"(-inf,-2]",0,541,-0.030981754750568562,-0.00021522691185286421,-0.000706824717577473,0.0002930984274023853,-0.0006580562771137872,-0.0011853740292089596,-0.0001001333884315459
MERTON_EMPIRICAL_GBM,"(-2,-1]",1,3008,-0.017781912441215263,0.00019801880291758298,-0.0005471798492784338,0.0009826094115313374,-0.00024481056234334,-0.0009650926433304706,0.0004903951790109048
MERTON_EMPIRICAL_GBM,"(-1,-0.5]",2,3324,-0.009370132362560218,0.00021902998066541964,5.184924360528249e-05,0.00041411533327402947,-0.00022379938459550337,-0.00040797279282992914,-3.454389210349242e-05
MERTON_EMPIRICAL_GBM,"(-0.5,0]",3,4354,-0.0029704244859838137,0.0006761107973989509,0.000494492432654902,0.0008731594748499419,0.00023328143213802784,-3.233189465067918e-05,0.00048244824657803486
MERTON_EMPIRICAL_GBM,"(0,0.5]",4,4363,0.0034858878468006604,0.00046021112067088916,0.0001073423039151516,0.0007784633830039198,1.738175540996615e-05,-0.0002455546120393367,0.00023998563173836915
MERTON_EMPIRICAL_GBM,"(0.5,1]",5,3338,0.00995614151941821,0.0009500420101323465,0.00048823775603550035,0.0014289526065239505,0.0005072126448714235,-2.5336178016781264e-06,0.0010234522197360796
MERTON_EMPIRICAL_GBM,"(1,2]",6,3173,0.01840660721931714,0.00014629301003511724,-0.0002583357861240994,0.0005158266765003264,-0.00029653635522580577,-0.0006469888581675982,2.1600980906759233e-05
MERTON_EMPIRICAL_GBM,"(2,inf)",7,555,0.03161163557331464,0.0008775837391073505,-0.00017107819206874474,0.0017637611004820426,0.00043475437384642753,-0.0005567054985105993,0.0013176854097053355
