law,bin,bin_index,n,mean_lagged_return,conditional_variance,conditional_variance_lo,conditional_variance_hi
SBJTS_TARGET,"(-inf,-2]",0,493,-0.05327231971712362,0.0008589960341466711,0.0006473635472647801,0.001061453357021409
SBJTS_TARGET,"(-2,-1]",1,2108,-0.01751389003286291,0.00033279650865097567,0.0002856407616420295,0.00037875881933928417
SBJTS_TARGET,"(-1,-0.5]",2,3199,-0.009235124638748933,0.00022675291035295658,0.0001943730675086592,0.0002632211931541847
SBJTS_TARGET,"(-0.5,0]",3,5224,-0.002913807201100905,0.00022934999547418922,0.00020662248791515202,0.0002577239144834769
SBJTS_TARGET,"(0,0.5]",4,5487,0.0034772112264618814,0.0002330483862950305,0.00018973423875264173,0.00026779508132037755
SBJTS_TARGET,"(0.5,1]",5,3576,0.009834168857409478,0.0002363258583516717,0.00021367434814208928,0.0002633991538171345
SBJTS_TARGET,"(1,2]",6,2123,0.017767844970544885,0.0002305938369021554,0.00020181261593968982,0.00025377026458315357
SBJTS_TARGET,"(2,inf)",7,446,0.05582362956099821,0.0005587302674054232,0.0003748242233936395,0.0007320238557688687
MERTON_EMPIRICAL_GBM,"(-inf,-2]",0,541,-0.030981754750568562,0.00018447675188303897,0.0001517713179999473,0.00021904280488946472
MERTON_EMPIRICAL_GBM,"(-2,-1]",1,3008,-0.017781912441215263,0.00017248567584599332,0.00016292734573037556,0.00018111818485749183
MERTON_EMPIRICAL_GBM,"(-1,-0.5]",2,3324,-0.009370132362560218,0.0001727557058267828,0.0001671512295904504,0.00017815146336401804
MERTON_EMPIRICAL_GBM,"(-0.5,0]",3,4354,-0.0029704244859838137,0.00017612395812567475,0.00016929730767076018,0.000182903047648632
MERTON_EMPIRICAL_GBM,"(0,0.5]",4,4363,0.0034858878468006604,0.00017586294123254814,0.00016694872721662388,0.00018311645972551318
MERTON_EMPIRICAL_GBM,"(0.5,1]",5,3338,0.00995614151941821,0.00017145585891195997,0.00016657656103226458,0.0001756063959938459
MERTON_EMPIRICAL_GBM,"(1,2]",6,3173,0.01840660721931714,0.00017254453371126586,0.00016611622313487327,0.00018014474427704343
MERTON_EMPIRICAL_GBM,"(2,inf)",7,555,0.03161163557331464,0.00017932169432073882,0.00016377400014427995,0.0001913911295232801
