constraint,arm,lag_return_x,z_of_x,bin,bin_index,law_conditional_mean_in_bin,law_conditional_mean_lo,law_conditional_mean_hi,law_bin_n,policy_mean_action,policy_mean_action_sd
LONG_ONLY_CAP50,MERTON,-0.06,-4.587215180586851,"(-inf,-2]",0,0.008358178645618327,0.006389629844820334,0.010719204923905478,493,0.24749915144906334,0.0006089172714815013
LONG_ONLY_CAP50,MERTON,-0.03,-2.304239672079966,"(-inf,-2]",0,0.008358178645618327,0.006389629844820334,0.010719204923905478,493,0.24768779064250515,0.00038634394792244473
LONG_ONLY_CAP50,MERTON,0.0,-0.021264163573081266,"(-0.5,0]",3,0.000402058306544483,0.0001550814671232969,0.0006430136708803639,5224,0.2478726570038325,0.0002468630902996272
LONG_ONLY_CAP50,MERTON,0.03,2.2617113449338033,"(2,inf)",7,-0.0026292167127932708,-0.003985411429502301,-0.001400279048624055,446,0.24805382952577654,0.0003122921841141988
LONG_ONLY_CAP50,MERTON,0.06,4.5446868534406875,"(2,inf)",7,-0.0026292167127932708,-0.003985411429502301,-0.001400279048624055,446,0.248231385602167,0.0005011559492153707
LONG_ONLY_CAP50,SBJTS,-0.06,-4.587215180586851,"(-inf,-2]",0,0.008358178645618327,0.006389629844820334,0.010719204923905478,493,0.2621317246981455,0.00040463417524725905
LONG_ONLY_CAP50,SBJTS,-0.03,-2.304239672079966,"(-inf,-2]",0,0.008358178645618327,0.006389629844820334,0.010719204923905478,493,0.2549656592287777,0.0002474707237438581
LONG_ONLY_CAP50,SBJTS,0.0,-0.021264163573081266,"(-0.5,0]",3,0.000402058306544483,0.0001550814671232969,0.0006430136708803639,5224,0.24837273003219423,0.00020452494688048806
LONG_ONLY_CAP50,SBJTS,0.03,2.2617113449338033,"(2,inf)",7,-0.0026292167127932708,-0.003985411429502301,-0.001400279048624055,446,0.2423362481313716,0.00027036163114905695
LONG_ONLY_CAP50,SBJTS,0.06,4.5446868534406875,"(2,inf)",7,-0.0026292167127932708,-0.003985411429502301,-0.001400279048624055,446,0.23683354839059279,0.00036725205017216095
LONG_ONLY_FULL,MERTON,-0.06,-4.587215180586851,"(-inf,-2]",0,0.008358178645618327,0.006389629844820334,0.010719204923905478,493,0.4946883850348094,0.0019652699742819706
LONG_ONLY_FULL,MERTON,-0.03,-2.304239672079966,"(-inf,-2]",0,0.008358178645618327,0.006389629844820334,0.010719204923905478,493,0.4951285022401393,0.0013283521890046104
LONG_ONLY_FULL,MERTON,0.0,-0.021264163573081266,"(-0.5,0]",3,0.000402058306544483,0.0001550814671232969,0.0006430136708803639,5224,0.4955657268080701,0.0009455871189261848
LONG_ONLY_FULL,MERTON,0.03,2.2617113449338033,"(2,inf)",7,-0.0026292167127932708,-0.003985411429502301,-0.001400279048624055,446,0.49600005591915386,0.0010994370119055232
LONG_ONLY_FULL,MERTON,0.06,4.5446868534406875,"(2,inf)",7,-0.0026292167127932708,-0.003985411429502301,-0.001400279048624055,446,0.49643148766954626,0.0016332840482594965
LONG_ONLY_FULL,SBJTS,-0.06,-4.587215180586851,"(-inf,-2]",0,0.008358178645618327,0.006389629844820334,0.010719204923905478,493,0.5427460332733437,0.0017201679001804468
LONG_ONLY_FULL,SBJTS,-0.03,-2.304239672079966,"(-inf,-2]",0,0.008358178645618327,0.006389629844820334,0.010719204923905478,493,0.5192391463963032,0.001019204396251607
LONG_ONLY_FULL,SBJTS,0.0,-0.021264163573081266,"(-0.5,0]",3,0.000402058306544483,0.0001550814671232969,0.0006430136708803639,5224,0.4979203895297421,0.00080041725451291
LONG_ONLY_FULL,SBJTS,0.03,2.2617113449338033,"(2,inf)",7,-0.0026292167127932708,-0.003985411429502301,-0.001400279048624055,446,0.478764747211608,0.0009558789459415168
LONG_ONLY_FULL,SBJTS,0.06,4.5446868534406875,"(2,inf)",7,-0.0026292167127932708,-0.003985411429502301,-0.001400279048624055,446,0.4616849392266628,0.0011890805432806211
