law,bin,bin_index,n,mean_lagged_return,tail_probability,tail_probability_lo,tail_probability_hi
SBJTS_TARGET,"(-inf,-2]",0,493,-0.05327231971712362,0.038539553752535496,0.0275049115913556,0.0508130081300813
SBJTS_TARGET,"(-2,-1]",1,2108,-0.01751389003286291,0.027988614800759013,0.019185475875743555,0.038334122101277804
SBJTS_TARGET,"(-1,-0.5]",2,3199,-0.009235124638748933,0.030634573304157548,0.02435265104808878,0.03777849531804973
SBJTS_TARGET,"(-0.5,0]",3,5224,-0.002913807201100905,0.03273353751914242,0.02943382077240345,0.03617622791681542
SBJTS_TARGET,"(0,0.5]",4,5487,0.0034772112264618814,0.03827227993439038,0.03359849653409556,0.043454038997214485
SBJTS_TARGET,"(0.5,1]",5,3576,0.009834168857409478,0.040268456375838924,0.03238306116800443,0.048240635641316684
SBJTS_TARGET,"(1,2]",6,2123,0.017767844970544885,0.04898728214790391,0.044455300439667805,0.05320145759590144
SBJTS_TARGET,"(2,inf)",7,446,0.05582362956099821,0.10089686098654709,0.06789584344169497,0.13044188689968736
MERTON_EMPIRICAL_GBM,"(-inf,-2]",0,541,-0.030981754750568562,0.06284658040665435,0.048417132216014895,0.07767452212181271
MERTON_EMPIRICAL_GBM,"(-2,-1]",1,3008,-0.017781912441215263,0.0511968085106383,0.045100033909799934,0.056862745098039215
MERTON_EMPIRICAL_GBM,"(-1,-0.5]",2,3324,-0.009370132362560218,0.04632972322503008,0.04129263913824058,0.05106001791579576
MERTON_EMPIRICAL_GBM,"(-0.5,0]",3,4354,-0.0029704244859838137,0.04937988056959118,0.04390911935195027,0.0547945205479452
MERTON_EMPIRICAL_GBM,"(0,0.5]",4,4363,0.0034858878468006604,0.05157002062800825,0.04802089901992714,0.054725224189468846
MERTON_EMPIRICAL_GBM,"(0.5,1]",5,3338,0.00995614151941821,0.046734571599760334,0.039012496190185916,0.05320721253325451
MERTON_EMPIRICAL_GBM,"(1,2]",6,3173,0.01840660721931714,0.050110305704380714,0.04398932415247918,0.05511328842620943
MERTON_EMPIRICAL_GBM,"(2,inf)",7,555,0.03161163557331464,0.043243243243243246,0.03545682102628286,0.05
